AUGUSTINIAN CANONS

Anglesey	 		A1	List of books, 1314
St Albans			B88 	Abbot Whethamstede's accounts, 1420 x 1440
St Albans			B89 	Fragment of list of Whethamstede's books, after 1452
St Albans			B90 	Bale's excerpts from list of Whethamstede's books, c. 1550
St Albans			B91	Leland, c. 1536-40
St Albans-Belvoir 	B92 	List of books,
St Albans-Tynemouth 	B93 	Leland, c. 1536-40
St Neots		 	null	Note on books seen by Leland, c. 1536-40
Sherborne 			B94 	Leland, c. 1536-40
Shrewsbury 			null	Note on books owned by John Langley of the Amies, 1670s
Spalding 			B95 	Visitation, 1438
Spalding			B96 	Leland, c. 1536-40
Tavistock 			B97 	Leland, c. 1536-40
Tewkesbury 			B98 	Leland, c. 1536-40
Thetford 			B99 	Leland, c. 1536-40
Thorney 			B100 	Borrowers' lists, early 14th cent.
Thorney			B101 	Leland, c. 1536-40
Thorney-Deeping 		B102 	Inventory of books, 14th cent.
Totnes 			B103 	Leland, c. 1536-40
Westminster 		B104 	Loan of books to Thomas Southam, 1369
Westminster			B105 	Inventory of Archbishop Langham's bequest, 1376
Westminster			B106 	Receipt for further goods of Archbishop Langham, 1378
Westminster			B107 	Books bequeathed by Br Richard Exeter, 1396
Westminster			B108 	Leland, c. 1536-40
Whitby 			B109 	Catalogue, late 12th cent.
Whitby 			B110 	Leland, c. 1536-40
Wilton 			B111 	List of books, early 16th cent.
Winchcombe 			B112 	Leland, c. 1536-40
Winchester 			B113 	Anonymus Reginensis, early 16th cent.
Worcester 			B114 	List of books in English, 11th cent.
Worcester			B115 	List of school-books, ? early 12th cent.
Worcester			B116 	List of books at Oxford, mid 15th cent.
Worcester			B117 	Books bought by Prior William More, 1518-31
Worcester			B118 	Leland, c. 1536-40
Wymondham 			B119 	Leland, c. 1536-40
York St Mary's 		B120 	Index catalogue of selected authors, 15th cent.
York St Mary's		B121 	Leland, c. 1536-40
York St Mary's-Rumburgh B122 	Inventory, 1439 
York St Mary's-Rumburgh	B123	Inventory, 1448
York St Mary's-Rumburgh	B124	Inventory, 1482

BENEDICTINES

Canterbury-St Augustine's 	BA1	Catalogue, 15th cent.
Canterbury-St Augustine's	BA2	Books noted in additions to Martyrology, late 12th to early 13th cent.
Canterbury-St Augustine's	BA3	Books noted by Thomas Sprot and William Thorne, early (?) and late 14th cent.
Canterbury-St Augustine's	BA4	Books borrowed by a monk, later 14th cent.
Canterbury-St Augustine's	BA5	Books noted by Thomas Elmham, 1414
Canterbury-St Augustine's	BA6	Books stolen by John Gaywoode, 1457
Canterbury-St Augustine's	BA7	Select titles noted by Leland, before 30 July 1538
Canterbury-St Augustine's	BA8	Books noted in Leland's Scriptores, c. 1545
Canterbury-Christ Church 	BC1 	List of school texts, c. 1180.
Canterbury-Christ Church	BC2 	List of choir books, ???.
Canterbury-Christ Church	BC3 	Philosophy, history and modern authors, c. 1225.
Canterbury-Christ Church	BC4 	Prior Eastry's catalogue, not after 1331.
Canterbury-Christ Church	BC5 	Inventory in Prior Eastry's register, 1331.
Canterbury-Christ Church	BC6 	List of books missing, 1337.
Canterbury-Christ Church	BC7 	Prior Chillenden's bequest, 1411.
Canterbury-Christ Church	BC8 	List of books repaired, 1508.
Canterbury-Christ Church	BC9	Select titles noted by Leland, 1536 x 1540.
Canterbury College, Oxford	null
Durham 				BD 
Dover-St Martin's 		BM1 	John Whitfield's catalogue, 1389
Dover-St Martin's		 	BM2 	Leland, c. 1536-40.
Peterborough 			BP1  	Books given by Bishop Æthelwold (d. 984)  
Peterborough			BP2  	Catalogue, early 12th cent.
Peterborough			BP3	Books copied for Abbot Benedict (1177-93)
Peterborough			BP4	Books given by Abbot Robert of Lindsey (1214-22)
Peterborough			BP5	Books given by Abbot Alexander of Holderness (1222-6)
Peterborough			BP6	Books given by Abbot Martin of Ramsey (1226-33)
Peterborough			BP7	Books given by Abbot Walter of St. Edmund (1233-45)
Peterborough			BP8	Books given by Abbot William de Hotot (1246-9)
Peterborough			BP9	Books given by Abbot John de Caux (1250-63)
Peterborough			BP10	Books given by Abbot Robert of Sutton (1263-74)
Peterborough			BP11	Books given by Prior John of Threckingham, late 13th cent.
Peterborough			BP12	Books given by Abbot Richard of London (1274-95)
Peterborough			BP13	Books given by Abbot William of Woodford (1295-9)
Peterborough			BP14	Books given by Abbot Godfrey of Crowland (1299-1321)
Peterborough			BP15	Books given by Abbot Adam of Boothby (1321-38)
Peterborough			BP16	Books given by Abbot Henry of Morcott (1338-53)
Peterborough			BP17	Books given by Abbot Robert of Ramsey (1353-61)
Peterborough			BP18	Books given by Abbot Henry of Overton (1361-91)
Peterborough			BP19	Books given by Abbot Nicholas Elmstow (1391-6)
Peterborough			BP20	List of books read in the refectory, 13th cent.
Peterborough			BP21  Catalogue, late 14th cent.
Peterborough			BP22	Books noted by William Morton, almoner, 1458-61
Peterborough			BP23	Leland, c. 1536-40


BRIGITTINES				

Syon				SS1	Registrum of the library of the Brethren, c. 1500-c. 1524
Syon				SS2	Class-marks reconstructed from Betson's Index and from erasure


CARTHUSIANS

Hinton			C1	Loans to another charterhouse, 1343
London			C2	Loans to Hull, late 15th or early 16th cent.
London			C3	Loans to Coventry, 1500
London			C4	Loans to Hinton, early 16th cent.
London			C5	Loans to Hinton, early 16th cent.
London			C6	Loans to Beauvale, 1510
London			C7	Loans to Mountgrace, 1519/20
Witham			C8	John Blacman's gifts, c. 1463-74
Unidentified		C9	Loans to another charterhouse, 1425


FRIARS

York Austin Friars 	FA8 	Catalogue, 1382, with additions


GILBERTINES

Bullington 			G1 	Lincolnshire list, 1528
Haverholme 			G2 	Lincolnshire list, 1528
Lincoln 			G3 	Lincolnshire list, 1528
Newstead 			G4 	Lincolnshire list, 1528
North Ormsby 		G5 	Lincolnshire list, 1528


LIBRARIES OF KING HENRY VIII

Richmond Palace 		H1 	Inventory of books, February 1535
Westminster 		H2 	Inventory of the Upper Library, 1542
various 			H3 	Thomas Berthelet's account, 1541-3
Westminster 		H4 	Books seen by Bale, 1547-50.
various 			H5 	Books mentioned in the post-mortem inventory, 1547.


HENRY DE KIRKESTEDE
HENRY DE KIRKESTEDE	K1	Catalogus, c. 1360

PREMONSTRATENSIANS

Barlings 			P1 	Lincolnshire list, 1528
Bradsole			P2 	Catalogue, late 13th cent.
Hagnaby			P3 	Books received by A. Wadington, 1511
Hagnaby			P4 	Lincolnshire list, 1528
Newsham 			P5 	Lincolnshire list, 1528
Titchfield 			P6 	Catalogue, Michaelmas 1400


REGISTRUM ANGLIE

Registrum 			R 	Union catalogue by author and title, early 14th cent.


SCOTLAND

Aberdeen cathedral			S1	Catalogue, 1436
Aberdeen cathedral			S2	Catalogue, 12 March 1465
Aberdeen, King's College		S3	Inventory, 1542
Aberdeen, King's College		S4	Lists of borrowed books, c. 1557
Aberdeen, St Nicholas			S5	Books at altar of St Duthac given by Duncan Shearer, early 16th cent
Arbroath abbey				S6	Books left by Richard Guthrie, 1473
Coldingham priory				S7	Inventory of sacristy, 7 June 1362
Coldingham priory				S8	Inventory of sacristy, 1371
Coldingham priory				S9	Inventory of goods, 10 Jan 1446/7
Crail collegiate church			S10	Inventory, c. 1540
Dunfermline abbey				null	Note on works listed in Registrum Anglie
Edinburgh castle				S11	Inventory, 26 March 1578
Glasgow cathedral				S12	Inventory, 24 March 1433
Glasgow university			S13	Books given by Duncan Bunch, 1473 × 1474
Glasgow university			S14	Books given by Bishop John Laing, 1475
Glasgow university			S15	Books given by John Brown, before 3 Nov 1483
Holyrood abbey				null	Note on works listed in Registrum Anglie
Holyroodhouse, Queen Mary's library	S16	Books received from Servais de Condé, 25 Nov 1569
Holyroodhouse, Queen Mary's library	S17	Books from the dispersed library of Queen Mary, 1573–8
Jedburgh abbey				null	Note on works listed in Registrum Anglie
Kelso abbey					null	Note on works listed in Registrum Anglie
Kinloss abbey				S18	Books given by Abbot Thomas Crystall, 1535
Loch Leven priory				S19	Books transferred from Loch Leven to St Andrews priory, c. 1152–3
Melrose abbey				null	Note on works listed in Registrum Anglie
Newbattle abbey				null	Note on works listed in Registrum Anglie
St Andrews cathedral priory		null	Note on works listed in Registrum Anglie
St Andrews Dominicans			S20	Books in the possession of John Grierson OP, c. 1522
St Andrews, St Leonard's College	S21	Books in the college library, 1597 or 1599
St Mary's College				S22	Inventory of books, c. 1559 × 1574
St Mary's College				S23	Inventory of books, probably 1588
St Mary's College				S24	Inventory of books, 1598
St Salvator's College			S25	List of service books, 14 March 1453/4
St Salvator's College			S26	Inventory of service books, late 1th or early 16th cent.
St Salvator's College			S27	List of service books distributed for safe keeping, c. 1559
St Andrew's University			S28	Books donated to the faculty of arts, 13 August 1456
St Andrew's University			S29	Books left as securities, 1475–7
St Andrew's University			S30	List of books bequeathed by Alexander Inglis, 1496
Stirling, Franciscans			S31	Payments to William Foular for books, 20 Feb 1503
Stirling, Franciscans			S32	Payments for books, 20 April 1503
Stirling, Chapel Royal			S33	Inventory of goods, 4 November 1505


SECULAR INSTITUTIONS

Secular Colleges
Arundel		SC201	Books devised by Richard Fitzalan, 5 December 1375
Arundel		SC202	Expenses memoranda, Michaelmas 1384–5
Arundel       	SC203	Bequest by John Neele, 10 March 1498
Arundel       	SC204 Inventory of goods, 14 June 1505
Arundel       	SC205	Inventory of goods, 1 October 1517
Ashford 		SC206	Bequest by John Mower, 12 April 1489
Ashford		SC207	Bequest by Thomas Wilmott, 25 April 1493
Ashford		SC208	Bequest by Clement Gyfford, 2 June 1507
Battlefield		SC209	Inventory of goods, 30 October 1444	
Beverley, Minster SC210	Bequest by William de Waltham, 5 October 1416
Beverley, Minster SC211	Bequest by Robert Manfield, 12 April 1419
Bishop Auckland	SC212	Record of gift from Bishop Richard Fox, 20 July 1499
Bosham		SC213	List of books noted at a visitation, February 1282
Bosham	      SC214	List of books noted at a visitation, 28 July 1294	
Bosham		SC215	Inventory of church goods, 21 September 1371	
Clifton		SC216	Bequest by Richard Lovet, 1 April 1491
Cobham		SC217	Inventory of goods, 30 September 1397
Cobham	      SC218	Bequest by Thomas Stone, 20 October 1464
Cobham      	SC219	Inventory of goods, 25 December 1479	
Crediton		SC220	Bequest by Bartholomew of St David, 9 Sept. 1223 × 30 Nov. 1225
Crediton		SC221	Bequest by Bishop Thomas de Brantingham, 13 Dec. 1393
Darlington		SC222	List of books in the library, 1487
Derby			SC223	Inventory of church goods, 1466
Derby		      SC224	Inventory of church goods, 12 May 1483
Derby       	SC225	List of books chained in the Lady chapel, c. 1483
Derby       	SC226	Inventory of church goods, 27 September 1527
Eton College	SC227	Inventory of church goods, 10 April 1445
Eton College      SC228	Bequest by John French, 29 April 1457
Eton College      SC229	Inventory of goods, 7 September 1465
Eton College      SC230	Bequest by John Bonour, 10 January 1467
Eton College      SC231	Bequest by William Strete, 7 June 1482
Eton College      SC232	Bequest by Robert Galon, 18 January 1485	
Eton College      SC233	Bequest by John Mower, 12 April 1489
Eton College      SC234	Bequest by Walter Smyth, 14 February 1524		
Eton College      SC235	Inventory of church goods, before 21 October 1528
Eton College      SC236	Inventory of service books, c. April 1531
Eton College	SC237	Inventory of church goods, 17 March 1536 × 29 Dec. 1547
Eton College      SC238	Bequest by Thomas Hunton, 28 June 1536
Eton College      SC239	Bequest by Robert Cater, 22 December 1545		
Eton College      SC240	Bequest by Bishop John Longlond, 23 March 1547
Eton College      SC241	Bequest by Richard Williat, 3 August 1550
Eton College      SC242 Excerpts from the Audit Books, 1548–9 to 1558–9	
Eton College      SC243	List of books returned to the bursars, 8 December 1558
Fotheringhay	SC244	Inventory of books in the library, 29 September 1445
Fotheringhay      SC245	Bequest by Cecily, duchess of York, 31 May 1495
Fotheringhay      SC246	Inventory of goods, 31 March 1546
Fotheringhay      SC247	Memorandum on English bibles, 28 August 1546
Fotheringhay      SC248	Memorandum on books, 3 September 1547
Fotheringhay      SC249	Inventory of goods, 23 November 1547	
Gloucester		null	Note on library				
Hemingbrough	SC250	Bequest by Robert Knyght, 2 January 1504
Heytesbury		SC251	List of books noted at a visitation, 29 September 1220
Heytesbury		SC252	List of books noted at a visitation, 10 February 1409
Howden		SC253	Inventory of church goods, May 1549
Ipswich		SC254	Purchases of plate, 9 July 1528 to 20 October 1529
Ipswich		SC255	Inventory of church goods, 22 Feb. × 29 Oct. 1529
Irthlingborough	SC256	Bequest by John Pyel, 12 February 1380
Leicester		SC257	Bequest by Bishop Thomas Langley, 21 Dec. 1436
Lingfield		SC258	List of goods given by the founders, after 1431	
Lingfield		SC259	Inventory taken at the surrender, 26 April 1544
London, St Martin-le-Grand		SC260	Record of an inquisition, 6 July 1360
London, St Martin-le-Grand    	SC261	Bequest by Robert de Pleseley, 22 May 1368	
London, St Martin-le-Grand   		SC262	Inventory of books and vestments, after 1503
London, Guildhall College		SC263	Bequest by Edmund Alynson, 3 August 1510
London, Whittington's College 	SC264	Bequest by Edward Lupton, 19 October 1482
London, Jesus Commons 			null	Note on library
London, St James Commons		SC265	Inventory of church goods, 1449
London, St James Commons      	SC266	Bequest by Thomas Kent, 19 January 1469
London, St Peter-upon-Cornhill 	SC267	Bequest by Thomas Penyngton, 15 March 1493
London, St Peter-upon-Cornhill      SC268	Leland, autumn 1534 × spring 1535
London, St Peter-upon-Cornhill      SC269	Inventory of church goods, 22 April 1546 × 28 Jan. 1547	
London, St Peter-upon-Cornhill	SC270	Memoranda, Michaelmas 1548 to Michaelmas 1551
London, St Peter-upon-Cornhill      SC271	List of books in the church, 19 July 1552	
Lowthorpe					SC272	Bequest by William Ruckshaw, 10 October 1504
Maidstone					SC272A Bequest by John Wotton, 30 September 1417
Maidstone				      SC273	Books received from the estate of William Grocyn, 1519
Mettingham					SC274	Bequest by Robert, 6th Lord Willoughby de Eresby, 6 June 1452
Mettingham					SC275	Bequest by George Fen, 3 September 1479
Mettingham					SC276	Bequest by Edmund Skotyer, 29 November 1483
Mettingham					SC277	Bequest by Sir James Hobart, 27 July 1516
Norwich		 			SC278	Inventory of goods, 10 July 1478
Norwich				      SC279	Deed of gift by Ralph Pulvertoft, 21 October 1497
Norwich    					SC280	Bequest by Ralph Pulvertoft, 27 March 1505	
Ottery St Mary				SC281	List of books taken to London, before November 1448
Ottery St Mary			      SC282	Bequest by William Silke, 24 November 1506
Pleshey					SC283	Inventory of goods, 10 January 1528
Pontefract					null	Note on library
Pott Shrigley				SC284	Inventory of church goods, 1493 × 1510
Ripon, Minster				null	Note on library
Rotherham					SC285	Bequest by William Rawson, 22 June 1495
Rotherham 				      SC286	Bequest by Archbishop Rotherham, 24 August 1498
Rotherham      				SC287	Donation by Henry Carnebull, 20 September 1499
Rotherham       				SC288	Books from Archbishop Rotherham, after 29 May 1500
Rotherham     				SC289	Return to the chantry commission, 4 June 1548
Salisbury					SC290	Bequest by Robert Ragenhill, 17 July 1407
South Malling				SC291	Bequest by William Piers, 18 February 1439	
Southwell, Minster 			SC292	Inventory of goods at the parish altar, 6 August 1369
Southwell, Minster		      SC293	Bequest by Henry Codyngton, 10 August 1404
Southwell, Minster      		SC294	Bequest by Sir John de la Zouche, 9 September 1445
Southwell, Minster     			SC295	Statement on church goods, 9 September 1552
Stoke-by-Clare				SC296	Bequest by John Pyttard, 20 October 1494
Stoke-by-Clare			      SC297	Bequest by Cecily, dowager duchess of York, 31 May 1495	
Stoke-by-Clare				SC298	Bequest by Richard Lessy, 15 February 1498		
Stoke-by-Clare				SC299	Inventory of church goods, 1 July 1534			
Stoke-by-Clare				SC300	Inventory of church goods, 8 December 1547
Sudbury					SC301 Inventory of goods, 10 May 1391
Sudbury       				SC302	Bequest by John Donemowe, 15 April 1420
Sudbury       				SC303	Bequest by Henry Gressham, 29 August 1420
Sudbury       				SC304	Bequest by Geoffrey Bryce, 1 April 1446
Sudbury       				SC305	Bequest by Henry Sythyng, 1 May 1464
Sudbury       				SC306	Bequest by John Hervy, 20 September 1465
Sudbury       				SC307	Bequest by Richard Crysale, 31 December 1465
Sudbury       				SC308	Bequest by John Payn, 6 May 1488	
Sudbury       				SC309	Bequest by William Woode, 6 April 1491
Sudbury       				SC310	Bequest by Thomas Gooch, 21 September 1508
Tamworth					SC311	Record of an inquisition, 16 January 1423
Tamworth				      SC312	Inventory of goods returned to the church, 4 May 1548
Tattershall					SC313	Excerpts from the accounts, 1443–4 to 1498–9
Tattershall				      SC314	Lincolnshire list, summer 1528
Wallingford					SC315	Bequest by Thomas de Lynton, 10 August 1387
Warwick					SC316	Inventory of church goods, 2 February 1408	
Warwick       				SC317	Bequest by Thomas Yonge, by 10 April 1432
Warwick       				SC318	Transfer of books, 25 Sept. 1445 × 22 Feb. 1465
Warwick					SC319	Inventory of church goods, 22 February 1465	
Warwick      				SC320	Inventory of church goods, 31 March 1468	
Westbury-on-Trym				SC321	Bequest by William Oakbourne, 30 July 1455
Westminster, St Peter			SC322	Bill for books, 24 June–20 November 1553
Westminster, St Peter       		SC323	Bill for service books, 11 November 1553
Westminster, St Peter       		SC324	Bill for service books, c. November 1554
Westminster, St Stephen			SC325	Assignment of books for an obit, 5 July 1410
Westminster, St Stephen       	SC326	Bequest by William Morland, 5 April 1491
Westminster, St Stephen       	SC327	Inventory of church goods taken at dissolution, 1548	
Winchester College 			SC328	Memoranda on the purchase of books, 1394–1401						
Winchester College			SC329	Bequest by William of Wykeham, 24 July 1404
Winchester College       		SC330	Inventory of goods, 1 September 1405			
Winchester College			SC331	Indenture of goods delivered to sacrist, 8 Dec. 1412	
Winchester College       		SC332	Memoranda on the purchase of books, 1412–13
Winchester College       		SC333	Inventory of goods, c. 1420
Winchester College       		SC334	Inventory of goods, 1421/2
Winchester College      		SC335	Inventory of the library, 30 July 1428 × 24 August 1429	
Winchester College			SC336	Inventory of goods, 16 August 1432
Winchester College       		SC337	Deed of gift by Robert Heete, 29 September 1432			
Winchester College			SC338	Inventory of books chained and unchained, 24 Jan. 1433
Winchester College       		SC339	Bequest by Michael Clive, 30 September 1501		
Winchester College       		SC340	Inventory of goods, 1521					
Winchester College			SC341	Inventory of church goods, 1526/7				
Winchester College			SC342	Bequest by Archbishop William Warham, 25 November 1530	
Winchester College			SC343	Excerpts from the Bursars' Rolls, 1528–9 to 1555–6		
Winchester College			SC344	Bequest by Bishop John Holyman, 4 June 1558		
Winchester College			SC345	Inventory of goods, 18 August 1565
Winchester College       		SC346	List of books in Fromond's Chapel, 30 April 1566
Windsor					SC347	Excerpts from the Precentors' Rolls, 1363–4 to 1383–4
Windsor					SC348	Inventory of books and church goods, 1384–5
Windsor					SC349	Bill for books produced for the chapel, 1389						
Windsor					SC350	Excerpts from the Precentors' Rolls, 1385–6 to 1408–9					
Windsor					SC351	Inventory of books and church goods, 1409–10
Windsor					SC352	List of service books received from King Henry V, 1415
Windsor					SC353	Excerpts from the Precentors' Rolls, 1413–14 to 1428–9
Windsor					SC354	Bill for bookbinding, June 1429	
Windsor					SC355	Excerpts from the account rolls, 1430–31 to 1492–3
Windsor       				SC356	Books for feasts of BVM & St Osmund, late 15th cent.
Windsor       				SC357	List of service books in Somerset Chantry, 30 July 1506
Windsor       				SC358	List of books in the hall of Denton's Commons, 1520	
Windsor					SC359	Excerpts from the Precentors' Rolls, 1522–3 to 1546–7
Windsor       				SC360	Inventory of church goods, 3 October 1547
Windsor       				SC361	Excerpts from the Precentors' Rolls, 1553–4 to 1557–8 
Wingfield					SC362	Bequest by Robert Bolton, 25 March 1434
Wingham					SC363	Bequest by John Parmenter, 17 August 1479			
Wingham       				SC364	Inventory of church goods, 1546			
Wye						null	Note on library

Hospitals, Towns, and the Professions

Beverley hospital					SH1	Inventory of church goods, 9 Jan 1419/20
Bishop's Clyst hosptial				null	Note on the library
Blyth hospital					SH2	Inventory of goods, 24 June 1471
Boston hospital					SH3	Bequest by Thomas Nesse, 28 July 1463
Boston guild					SH4	Inventory of goods, 1523 × 1524
Boston guild					SH5	Inventory of goods, 2 July 1533
Bridport hospital					SH6	Inventory of goods, 9 October 1453
Bristol hospital					SH7	Bequest by Lord Berkeley, 2 February 1415/16
Bristol town library				null	Note on library
Bristol grammar school				null	Note on library
Brough-under-Stainmore grammar school	SH8	Inventory of goods, May or June 1546
Bury St Edmunds hospital			null	Note on library
Canterbury, St James				SH9	Inventory of goods, 1546
Canterbury, St John the Baptist		SH10	Bequest by William Garnare, 26 April 1511
Canterbury, St John the Baptist		SH11	Inventory of goods, 1546
Canterbury, St Nicholas				SH12	Inventory of goods, 1546
Coventry guild					SH13	Inventory of goods, 15 December 1441
Dover, Domus Dei					null	Note on library
Ewelme, Domus Dei					SH14 	Inventory of goods, 10 September 1466
Exeter hospital					null	Note on library
Gateshead hospital				SH15	Inventory of goods, 1 February 1326
Hedon grammar school				SH16	Bequest by John Elwyn, 24 November 1465
Kepier hospital					SH17	Bequest by Robert Wycliffm 8 September 1423
Kepier hospital					SH18	Inventory of goods, 7 December 1507
King's Lynn, St John the Baptist		SH19	Bequest by Thomas of Lexham, 31 October 1382
King's Lynn, St Mary Magdalen			SH20	List of books taken away, 21 March 1454/5
Lathom almshouse					null	Note on library
Ledbury hospital					SH21	Inventory of goods, 27 January 1315/16
Lincoln,Holy Innocents				SH22	Inventory of goods, 13 August 1316
London, St Anthony				SH23	Inventory of chapel goods, 1499
London, hospital of St Bartholomew		SH24	List of books recovered for the house, 1424
